날짜	상대	이닝	투수	타자	P	결과	이전상황	이후상황	LEV	REa	WPs	WPe	WPa
2023-07-30	키움	9초	오상원	9 이재현	0-3	볼넷	1사 9:6	1사 1루 9:6	0.11	0.276	3.6	3.3	0.004
2023-08-01	KIA	6말	김유신	9 이재현	2-1	1루수 파울 뜬공	무사 6:7	1사 6:7	0.83	-0.258	74.3	72.2	-0.021
2023-08-02	KIA	3말	양현종	7 이재현	0-0	좌익수 뜬공	무사 1:0	1사 1:0	1.08	-0.258	43.4	40.7	-0.027
2023-08-02	KIA	4말	양현종	7 이재현	0-1	3루수 땅볼	1사 1루 1:3	2사 1루 1:3	0.80	-0.322	79.0	77.1	-0.019
2023-08-02	KIA	7말	임기영	7 이재현	2-2	중견수 뜬공	무사 5:3	1사 5:3	1.54	-0.258	21.5	17.6	-0.039
2023-08-03	KIA	1말	이의리	7 이재현	1-0	우익수 2루타	2사 1,2루 1:2	2사 2루 1:4	1.42	1.878	64.2	80.0	0.159
2023-08-03	KIA	4말	이의리	7 이재현	1-0	중견수 안타	무사 3:4	무사 1루 3:4	0.83	0.398	68.8	72.0	0.033
2023-08-03	KIA	6말	이의리	7 이재현	1-0	중견수 안타	무사 1루 9:4	무사 1,2루 9:4	0.91	0.620	7.6	11.6	0.040
2023-08-03	KIA	7말	윤중현	7 이재현	1-0	중견수 희생플라이[실책포함]	1사 1,3루 9:5	2사 2루 9:6	1.69	0.101	11.8	10.0	-0.018
2023-08-03	KIA	9말	전상현	7 이재현	0-0	3루수 땅볼	2사 1루 12:8	이닝종료 12:8	0.16	-0.251	0.5	0.0	-0.005
2023-08-04	LG	3말	이지강	8 이재현	1-1	2루수 땅볼	1사 2:0	2사 2:0	0.73	-0.180	29.7	27.9	-0.018
2023-08-04	LG	5말	이지강	8 이재현	2-0	우익수 뜬공	1사 3:2	2사 3:2	0.97	-0.180	37.8	35.4	-0.024
2023-08-04	LG	7말	김진성	8 이재현	2-1	중견수 안타	2사 2루 3:2	2사 1루 3:3	2.63	0.907	32.6	54.2	0.215
2023-08-05	LG	2말	최원태	8 이재현	0-1	3루수 땅볼	2사 1루 2:1	이닝종료 2:1	0.90	-0.251	41.1	38.6	-0.025
2023-08-05	LG	4말	최원태	8 이재현	2-2	좌익수 홈런	1사 3:3	1사 3:4	0.78	1.000	53.3	66.6	0.134
2023-08-05	LG	6말	최동환	8 이재현	0-1	중견수 안타	무사 3:6	무사 1루 3:6	0.30	0.398	91.4	92.5	0.011
2023-08-05	LG	8말	백승현	8 이재현	0-0	포수 번트 아웃	무사 1루 3:6	2사 3:6	0.17	-0.836	97.7	96.9	-0.009
2023-08-06	LG	2말	임찬규	8 이재현	2-3	좌익수 홈런	2사 1:0	2사 1:1	0.46	1.000	39.8	51.1	0.114
2023-08-06	LG	4말	임찬규	8 이재현	2-1	중견수 뜬공	1사 1:1	2사 1:1	0.78	-0.180	53.3	51.3	-0.019
